"Reporting starts","Reporting ends","Ad name","Ad delivery","Amount spent (TWD)",Impressions,Reach,"Attribution setting",Bid,"Bid type","Quality ranking","Engagement rate ranking","Conversion rate ranking","CTR (link click-through rate)","Offline purchases","Link clicks","Website checkouts initiated","In-app purchases","3-second video plays rate per impressions","Checkouts initiated","Landing page views","In-app adds to cart","3-second video plays",ThruPlays,"Video plays at 25%","Offline adds to cart","Meta adds to cart",Purchases,"Website purchases","Video plays at 75%","Offline checkouts initiated","Video plays at 95%","Offline purchases conversion value","App landing page views","Meta purchase conversion value","Video plays at 50%","In-app purchases conversion value","Website landing page views","Meta checkouts initiated","Video plays at 100%","ATC Rate","CPC (all) (TWD)","In-app purchase ROAS (return on ad spend)","Landing page views rate per link clicks","Purchases conversion value","Video average play time","Purchase ROAS (return on ad spend)","In-app checkouts initiated","Website adds to cart","Cost per purchase (TWD)",Frequency,"Adds to cart","Website purchases conversion value","Meta purchases","Hold Rate","Website purchase ROAS (return on ad spend)","Ad set budget","Ad set budget type",Ends,"Account name","Campaign name","Ad set name"
2025-12-05,2025-12-05,BRD_VideoC_快節奏_1202,active,189,1004,907,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.693227,,17,2,,20.517928,2,22,,206,47,126,,,2,2,51,,17,,,,65,,22,,13,0.41176471,8.590909,,129.411765,5825,3,30.820106,,7,94.5,1.106946,7,5825,,0.0631068,30.820106,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-05,2025-12-05,RT14_光影影片_1202,active,0,5,5,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,,,,1,,,,,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-05,2025-12-05,"RT14_常態影片廣告 影片A-Ad1",active,458,2004,1721,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,Average,"Above average",1.946108,,39,3,,18.113772,3,33,,363,125,195,,,,,49,,36,,,,133,,33,,33,0.1025641,6.735294,,84.615385,,4,,,4,,1.164439,4,,,0.09090909,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-05,2025-12-05,"測試 - 2025-常態影片廣告 影片A-Ad2",active,844,8320,7650,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.40625,,117,13,,17.307692,13,147,,1440,424,1667,,,2,2,526,,442,,,,798,,147,,422,0.22222222,4.662983,,125.641026,1583,2,1.875592,,26,422,1.087582,26,1583,,0.29305556,1.875592,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-04,2025-12-04,影片_B2C氛圍,active,482,2615,2173,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,5.353728,,140,8,,24.665392,8,130,,645,173,645,,,3,3,234,,186,,,,363,,130,,171,0.12142857,2.059829,,92.857143,4342,3,9.008299,,17,160.666667,1.203405,17,4342,,0.26511628,9.008299,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-04,2025-12-04,靜態圖_B2B主打,active,109,507,455,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,3.944773,,20,2,,,2,25,,,,,,,,,,,,,,,,,25,,,0.25,3.114286,,125,,00:00:00,,,5,,1.114286,5,,,,,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-04,2025-12-04,BRD_20251203_Video_D_ASMR_Tuile,inactive,4,6,5,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,,,,,,16.666667,,,,1,,1,,,,,1,,1,,,,1,,,,,,0,,0,,3,,,,,1.2,,,,0,,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-04,2025-12-04,BRD_VideoC_快節奏_1202,active,317,1826,1575,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.6977,,31,4,,18.619934,4,23,,340,78,210,,,2,2,80,,32,,,,111,,23,,27,0.41935484,6.744681,,74.193548,1343,3,4.236593,,13,158.5,1.159365,13,1343,,0.07941176,4.236593,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-04,2025-12-04,RT14_光影影片_1202,active,0,3,3,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,00:00:00,,,,,1,,,,,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-04,2025-12-04,"RT14_常態影片廣告 影片A-Ad1",active,435,1741,1462,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,Average,"Above average",2.067777,,36,2,,22.056289,2,29,,384,119,196,,,,,47,,38,,,,129,,29,,38,0.33333333,8.529412,,80.555556,,4,,,12,,1.190834,12,,,0.09895833,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-04,2025-12-04,"測試 - 2025-常態影片廣告 影片A-Ad2",active,823,7168,6375,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.478795,,106,17,,16.992188,17,98,,1218,326,1397,,,2,1,398,,333,,,,627,,98,,324,0.43396226,4.546961,,92.45283,886,2,1.076549,,46,411.5,1.124392,46,886,1,0.26600985,1.076549,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
