所有CPC成效報告 - Shopee台灣
使用者名稱,ivyhousetw
賣場名稱,艾薇手工坊
賣場ID,46769799
報表匯出時間,2026/01/04 17:14
期間,2025/12/04 - 2025/12/09

順序,廣告名稱,狀態,廣告類型,商品 ID,目標客群,創作,出價模式,版位,關鍵字/版位層級,比對模式,開始日期,結束日期,瀏覽數,點擊數,點擊率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率
73,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,高雄伴手禮,精準比對,2025/11/26 00:00:00,無限制,301,10,3.32%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,98.41,0.00,0.00,0.00%,0.00%,-,-,-
74,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,喜餅,精準比對,2025/11/26 00:00:00,無限制,265,7,2.64%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,71.14,0.00,0.00,0.00%,0.00%,-,-,-
75,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,伴手禮,精準比對,2025/11/26 00:00:00,無限制,249,1,0.40%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,5.85,0.00,0.00,0.00%,0.00%,-,-,-
76,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,過年禮盒,精準比對,2025/11/26 00:00:00,無限制,168,3,1.79%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,30.97,0.00,0.00,0.00%,0.00%,-,-,-
77,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,甜點禮盒,精準比對,2025/11/26 00:00:00,無限制,130,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
78,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,堅果塔禮盒,精準比對,2025/11/26 00:00:00,無限制,122,9,7.38%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,62.89,0.00,0.00,0.00%,0.00%,-,-,-
79,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,喜餅禮盒,精準比對,2025/11/26 00:00:00,無限制,116,6,5.17%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,40.08,0.00,0.00,0.00%,0.00%,-,-,-
80,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,餅乾鐵盒,精準比對,2025/11/26 00:00:00,無限制,108,2,1.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,40.00,0.00,0.00,0.00%,0.00%,-,-,-
81,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,禮盒,精準比對,2025/11/26 00:00:00,無限制,838,6,0.72%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,96.44,0.00,0.00,0.00%,0.00%,-,-,-
82,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,送禮禮盒,精準比對,2025/11/26 00:00:00,無限制,474,8,1.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,79.64,0.00,0.00,0.00%,0.00%,-,-,-
83,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,伴手禮,精準比對,2025/11/26 00:00:00,無限制,148,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
84,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,甜點禮盒,精準比對,2025/11/26 00:00:00,無限制,110,3,2.73%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,11.48,0.00,0.00,0.00%,0.00%,-,-,-
85,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,喜餅,精準比對,2025/11/26 00:00:00,無限制,28,2,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,13.21,0.00,0.00,0.00%,0.00%,-,-,-
86,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,堅果塔禮盒,精準比對,2025/11/26 00:00:00,無限制,26,2,7.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,25.14,0.00,0.00,0.00%,0.00%,-,-,-
87,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,過年禮盒,精準比對,2025/11/26 00:00:00,無限制,20,1,5.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.65,0.00,0.00,0.00%,0.00%,-,-,-
88,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,喜餅禮盒,精準比對,2025/11/26 00:00:00,無限制,14,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
89,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,西式喜餅,精準比對,2025/11/26 00:00:00,無限制,11,1,9.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,15.42,0.00,0.00,0.00%,0.00%,-,-,-
90,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,彌月禮盒,精準比對,2025/11/26 00:00:00,無限制,10,1,10.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,3.00,0.00,0.00,0.00%,0.00%,-,-,-
91,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,高雄伴手禮,精準比對,2025/11/26 00:00:00,無限制,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
92,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,結婚禮盒,精準比對,2025/11/26 00:00:00,無限制,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,8.56,0.00,0.00,0.00%,0.00%,-,-,-
93,【艾薇手工坊】新戀戀雪花禮盒 23入 (豆塔+餅乾+雪花餅) (鐵盒附提袋) [5],正在進行,商品廣告,22772496586,自動受眾,-,手動出價,搜尋,婚禮禮盒,精準比對,2025/11/26 00:00:00,無限制,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
94,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,瑪德蓮,精準比對,2025/11/26 00:00:00,無限制,268,8,2.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,54.86,0.00,0.00,0.00%,0.00%,-,-,-
95,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,甜點,精準比對,2025/11/26 00:00:00,無限制,218,8,3.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,20.90,0.00,0.00,0.00%,0.00%,-,-,-
96,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,點心,精準比對,2025/11/26 00:00:00,無限制,60,3,5.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,12.91,0.00,0.00,0.00%,0.00%,-,-,-
97,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,瑪德蓮蛋糕,精準比對,2025/11/26 00:00:00,無限制,30,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
98,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,小蛋糕,精準比對,2025/11/26 00:00:00,無限制,21,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
99,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,馬德蓮,精準比對,2025/11/26 00:00:00,無限制,18,1,5.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,6.32,0.00,0.00,0.00%,0.00%,-,-,-
100,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,常溫甜點,精準比對,2025/11/26 00:00:00,無限制,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.12,0.00,0.00,0.00%,0.00%,-,-,-
101,【艾薇手工坊】胖貝殼瑪德蓮-巧克力口味10入 (袋裝) [3],正在進行,商品廣告,25019676477,自動受眾,-,手動出價,搜尋,巧克力蛋糕,精準比對,2025/11/26 00:00:00,無限制,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
102,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,瑪德蓮,精準比對,2025/11/26 00:00:00,無限制,274,15,5.47%,1,1,6.67%,6.67%,123.65,123.65,1,1,360.00,360.00,123.65,2.91,2.91,34.35%,34.35%,-,-,-
103,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,甜點,精準比對,2025/11/26 00:00:00,無限制,73,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
104,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,小蛋糕,精準比對,2025/11/26 00:00:00,無限制,60,2,3.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,18.68,0.00,0.00,0.00%,0.00%,-,-,-
105,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,瑪德蓮蛋糕,精準比對,2025/11/26 00:00:00,無限制,44,1,2.27%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,3.50,0.00,0.00,0.00%,0.00%,-,-,-
106,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,蜂蜜蛋糕,精準比對,2025/11/26 00:00:00,無限制,36,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
107,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,馬德蓮,精準比對,2025/11/26 00:00:00,無限制,19,1,5.26%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.54,0.00,0.00,0.00%,0.00%,-,-,-
108,【艾薇手工坊】胖貝殼瑪德蓮-蜂蜜口味10入 (袋裝) [3],正在進行,商品廣告,24269679744,自動受眾,-,手動出價,搜尋,常溫甜點,精準比對,2025/11/26 00:00:00,無限制,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
109,【艾薇手工坊】雪花餅-蔓越莓口味 10入/15入(袋裝) [5],已暫停,商品廣告,23744558380,自動受眾,-,手動出價,搜尋,雪q餅,精準比對,2025/11/26 00:00:00,無限制,390,34,8.72%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,228.28,0.00,0.00,0.00%,0.00%,-,-,-
110,【艾薇手工坊】雪花餅-蔓越莓口味 10入/15入(袋裝) [5],已暫停,商品廣告,23744558380,自動受眾,-,手動出價,搜尋,雪花酥,精準比對,2025/11/26 00:00:00,無限制,242,11,4.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,110.87,0.00,0.00,0.00%,0.00%,-,-,-
111,【艾薇手工坊】雪花餅-蔓越莓口味 10入/15入(袋裝) [5],已暫停,商品廣告,23744558380,自動受眾,-,手動出價,搜尋,雪花餅,精準比對,2025/11/26 00:00:00,無限制,241,6,2.49%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,38.74,0.00,0.00,0.00%,0.00%,-,-,-
112,【艾薇手工坊】經典杏仁瓦片-青花椒口味 90g/135g (袋裝),已結束,商品廣告,28384438772,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2025/06/04 00:00:00,2025/12/20 00:05:55,13530,144,1.06%,2,1,1.39%,0.69%,164.48,328.96,3,1,395.00,105.00,328.96,1.20,0.32,83.28%,313.30%,-,-,-
113,【艾薇手工坊】胖貝殼瑪德蓮-柑橘口味10入 (袋裝) [2],已結束,商品廣告,28034383688,自動受眾,-,手動出價,搜尋,常溫甜點,廣泛比對,2025/11/26 00:00:00,2025/12/20 00:05:55,826,12,1.45%,2,0,16.67%,0.00%,36.63,0.00,2,0,215.00,0.00,73.27,2.93,0.00,34.08%,0.00%,-,-,-
114,【艾薇手工坊】胖貝殼瑪德蓮-柑橘口味10入 (袋裝) [2],已結束,商品廣告,28034383688,自動受眾,-,手動出價,搜尋,甜點,廣泛比對,2025/11/26 00:00:00,2025/12/20 00:05:55,721,9,1.25%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,37.20,0.00,0.00,0.00%,0.00%,-,-,-
115,【艾薇手工坊】胖貝殼瑪德蓮-柑橘口味10入 (袋裝) [2],已結束,商品廣告,28034383688,自動受眾,-,手動出價,搜尋,小蛋糕,廣泛比對,2025/11/26 00:00:00,2025/12/20 00:05:55,686,4,0.58%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,33.41,0.00,0.00,0.00%,0.00%,-,-,-
116,【艾薇手工坊】胖貝殼瑪德蓮-柑橘口味10入 (袋裝) [2],已結束,商品廣告,28034383688,自動受眾,-,手動出價,搜尋,瑪德蓮,廣泛比對,2025/11/26 00:00:00,2025/12/20 00:05:55,667,4,0.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,13.00,0.00,0.00,0.00%,0.00%,-,-,-
117,【艾薇手工坊】胖貝殼瑪德蓮-柑橘口味10入 (袋裝) [2],已結束,商品廣告,28034383688,自動受眾,-,手動出價,搜尋,瑪德蓮蛋糕,廣泛比對,2025/11/26 00:00:00,2025/12/20 00:05:55,635,9,1.42%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,50.73,0.00,0.00,0.00%,0.00%,-,-,-
118,【艾薇手工坊】胖貝殼瑪德蓮-柑橘口味10入 (袋裝) [2],已結束,商品廣告,28034383688,自動受眾,-,手動出價,搜尋,馬德蓮,廣泛比對,2025/11/26 00:00:00,2025/12/20 00:05:55,619,8,1.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,13.71,0.00,0.00,0.00%,0.00%,-,-,-
119,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,關聯,猜你喜歡,-,2025/11/26 00:00:00,2025/12/20 00:05:55,0,0,0.00%,1,1,0.00%,0.00%,0.00,0.00,1,1,105.00,105.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
120,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,搜尋,手工餅乾,精準比對,2025/11/26 00:00:00,2025/12/20 00:05:55,810,18,2.22%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,103.36,0.00,0.00,0.00%,0.00%,-,-,-
121,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,搜尋,曲奇餅乾,精準比對,2025/11/26 00:00:00,2025/12/20 00:05:55,513,16,3.12%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,81.55,0.00,0.00,0.00%,0.00%,-,-,-
122,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,搜尋,曲奇餅,精準比對,2025/11/26 00:00:00,2025/12/20 00:05:55,364,13,3.57%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,67.37,0.00,0.00,0.00%,0.00%,-,-,-
123,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,搜尋,曲奇,精準比對,2025/11/26 00:00:00,2025/12/20 00:05:55,118,2,1.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,6.69,0.00,0.00,0.00%,0.00%,-,-,-
124,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,搜尋,奶油餅乾,精準比對,2025/11/26 00:00:00,2025/12/20 00:05:55,74,3,4.05%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,11.35,0.00,0.00,0.00%,0.00%,-,-,-
125,【艾薇手工坊】奶油曲奇餅乾-伯爵紅茶口味 90g (袋裝) [6],已結束,商品廣告,2226007709,自動受眾,-,手動出價,搜尋,伯爵餅乾,精準比對,2025/11/26 00:00:00,2025/12/20 00:05:55,15,2,13.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,20.44,0.00,0.00,0.00%,0.00%,-,-,-
